iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std
1,0.8125477333023334,0.9486069004847877,0.8878428451225968,0.6126035949952959,0.6500831424556127,0.936776722698131,0.5026326522827873,0.9106142091913831,0.8985347143760232,4.642348918882767,4.642348918882767,False,0.0,pi,0.0,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
2,0.7339674764218604,0.6515162134096568,0.6392128060503867,0.6274347938270624,0.7225381529413233,0.7522741294789766,0.7767486760372462,0.9977501417171963,0.8963309596068765,4.901187335650901,4.901187335650901,False,0.0,pi,0.0,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
3,0.8110896147205813,0.9944800738409425,0.6076543491177995,0.5801060169289223,0.8062698021365153,0.5219710039806917,0.5178401393867981,0.7574444101356852,0.7331030126626445,4.846585625863891,4.846585625863891,False,0.0,pi,0.0,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
4,0.9585838865964261,0.8146131272455053,0.7570588232997569,0.7484367176967521,0.6237574610136654,0.505897012771253,0.5962010719926554,0.8460160604409196,0.6003033619934977,5.151354851216365,5.151354851216365,False,0.0,pi,0.0,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
5,0.6847681553011034,0.5018671210260379,0.9150238649008728,0.5772305405307199,0.6337996522818927,0.9401660769904143,0.7548954049342116,0.9235751231829347,0.8198585834712631,4.404703455402656,4.404703455402656,False,0.0,pi,0.0,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
6,0.9281368494289292,0.816281380969369,0.8426898691893201,0.695588332086815,0.6940593216637273,0.5783409968319901,0.5702540362631736,0.8121058463799844,0.6710054831177621,4.9590124846685555,4.9590124846685555,False,0.0,pi,0.007540400023572147,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
7,0.986135485818918,0.7880757026724702,0.7715641939008203,0.8370258033109386,0.5937034159554904,0.7349845448962765,0.5609545086180385,0.9593704842635559,0.7499071326411233,5.13784175135727,5.13784175135727,False,0.0,pi,0.008270899998024106,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
8,0.9508659626699217,0.7019627313459582,0.6104498458261971,0.6953900601762244,0.6403698592173506,0.6277865485400416,0.5569417347464412,0.9400699185017041,0.6235561158049869,5.207846630293588,5.207846630293588,False,0.0,pi,0.028298100049141794,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
9,0.960171027043653,0.7946778130599159,0.7703939950954034,0.8830605103556535,0.6885227268068181,0.5372335009352348,0.5591548512451767,0.9319511772921509,0.5733422059309956,5.133751631114847,5.133751631114847,False,0.0,pi,0.015259600011631846,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
10,0.8569347505613792,0.8501245694662454,0.6006904813111876,0.7742805967765691,0.5134334892492243,0.6450601648602514,0.6173287192385652,0.9813292853566156,0.5733178280253776,5.069291635364958,5.069291635364958,False,0.0,pi,0.014456700009759516,7,cddfd5bb-6986-4555-9db2-1e4b5d6b4a3e,none,0.0
